ID,item_cnt_month
0,0.22176924
1,0.07373143
2,0.7666902
3,0.2094416
4,0.35380593
5,0.78679997
6,1.0105973
7,0.20129535
8,0.20129535
9,0.58414334
10,2.2631233
11,0.58414334
12,0.20129535
13,0.5126414
14,1.1496708
15,2.390073
16,0.12802556
17,0.20129535
18,1.21217
19,0.25381625
20,0.70589274
21,0.22176924
22,1.9098544
23,0.34708723
24,1.1520644
25,0.58414334
26,0.2094416
27,0.22176924
28,1.0462611
29,4.2808084
30,0.8060135
31,0.58414334
32,0.58414334
33,0.58414334
34,0.25381625
35,0.25381625
36,0.25381625
37,0.58414334
38,0.14034161
39,0.14034161
40,0.5889148
41,0.8608388
42,2.7994928
43,2.8072083
44,0.59516835
45,0.05549071
46,0.59516835
47,0.35823053
48,0.59516835
49,1.1453372
50,0.6806853
51,0.35823053
52,0.39257535
53,0.59516835
54,4.3389916
55,2.2043612
56,0.58414334
57,0.9903708
58,3.8219798
59,2.1382554
60,4.33085
61,0.35921523
62,0.22176924
63,0.37869966
64,0.5237866
65,0.07373143
66,0.35921523
67,0.2094416
68,0.5137141
69,0.22176924
70,0.07373143
71,1.7643368
72,0.29516843
73,0.89731103
74,1.0003399
75,0.77637076
76,0.22701846
77,0.5237866
78,0.2094416
79,0.58414334
80,0.708707
81,1.246269
82,0.58414334
83,0.2414886
84,0.2094416
85,0.6511088
86,0.35921523
87,0.20129535
88,2.1151521
89,0.9262632
90,0.93473333
91,0.8087642
92,1.21217
93,0.2094416
94,0.58414334
95,0.07373143
96,0.2414886
97,0.2094416
98,0.72892785
99,1.2861364
100,0.7682512
101,1.1800356
102,0.2094416
103,0.76088035
104,0.2094416
105,0.35823053
106,0.35823053
107,0.95768577
108,0.20129535
109,0.07373143
110,0.25381625
111,0.2094416
112,0.58414334
113,0.58414334
114,0.22176924
115,0.2094416
116,0.12986168
117,0.20129535
118,3.990994
119,0.35210094
120,0.35210094
121,0.1403459
122,0.6806853
123,0.6806853
124,0.1403459
125,1.2791735
126,0.35210094
127,0.33062297
128,0.35823053
129,0.11879245
130,0.6806853
131,0.12986168
132,1.0575266
133,4.736977
134,0.35210094
135,1.651319
136,0.472414
137,0.35871118
138,1.2013462
139,0.09574791
140,0.12986168
141,0.2596208
142,0.20129535
143,0.33062297
144,0.05549071
145,0.05549071
146,0.05549071
147,0.20129535
148,0.07373143
149,0.35210094
150,0.12986168
151,0.33062297
152,5.243492
153,0.11879245
154,0.12986168
155,0.33062297
156,0.11879245
157,0.33062297
158,0.11879245
159,0.23254965
160,0.9819355
161,0.11879245
162,0.76696026
163,0.62595165
164,0.33062297
165,0.20129535
166,0.2596208
167,0.20129535
168,0.07373143
169,0.20129535
170,0.11879245
171,0.33062297
172,0.20142888
173,0.8850635
174,0.7419115
175,2.3431628
176,0.72956085
177,0.08094955
178,0.20720753
179,0.12986168
180,1.5424815
181,0.2596208
182,0.11879245
183,0.11879245
184,0.11879245
185,0.08094955
186,0.20129535
187,0.20129535
188,0.07373143
189,0.07373143
190,0.23719943
191,0.23719943
192,0.595013
193,0.22176924
194,0.23719943
195,0.25381625
196,0.8060135
197,2.6418839
198,1.1520644
199,0.27020225
200,0.051244356
201,0.27020225
202,0.210771
203,1.0105973
204,0.2414886
205,0.28051922
206,0.21885476
207,0.22176924
208,1.4054738
209,0.76333344
210,0.23719943
211,0.20129535
212,0.20129535
